Variable,Coefficient (Beta),Standard Error,z-statistic,p-value,Odds Ratio (OR),CI_Lower (2.5%),CI_Upper (97.5%)
const,0.05037139140709359,0.05837639333608219,0.8628726190242256,0.38820750659860526,1.0516616019384606,0.9379635058472761,1.1791419581860068
Sleep,-0.247533699298069,0.015124937744855405,-16.365931779273943,3.348630926655733e-60,0.7807239105198388,0.7579195507508593,0.8042144101620515
